lap_number,driver_number,driver,team,lap_duration_clean,cum_time,position_actual,position,is_pit_lap,position_final
1,1,VER,Red Bull Racing,99.359,99.359,1,1,False,1
2,1,VER,Red Bull Racing,97.974,197.333,1,1,False,1
3,1,VER,Red Bull Racing,98.006,295.339,1,1,False,1
4,1,VER,Red Bull Racing,97.976,393.315,1,1,False,1
5,1,VER,Red Bull Racing,98.035,491.35,1,1,False,1
6,1,VER,Red Bull Racing,97.986,589.336,1,1,False,1
7,1,VER,Red Bull Racing,98.021,687.357,1,1,False,1
8,1,VER,Red Bull Racing,98.154,785.511,1,1,False,1
9,1,VER,Red Bull Racing,98.278,883.789,1,1,False,1
10,1,VER,Red Bull Racing,98.369,982.158,1,1,False,1
11,1,VER,Red Bull Racing,98.483,1080.641,1,1,False,1
12,1,VER,Red Bull Racing,98.591,1179.232,1,1,False,1
13,1,VER,Red Bull Racing,98.482,1277.714,1,1,False,1
14,1,VER,Red Bull Racing,101.295,1379.009,1,1,False,1
15,1,VER,Red Bull Racing,118.378,1497.387,2,2,True,2
16,1,VER,Red Bull Racing,97.801,1595.188,2,2,False,2
17,1,VER,Red Bull Racing,97.648,1692.836,2,2,False,2
18,1,VER,Red Bull Racing,97.614,1790.45,1,1,False,1
19,1,VER,Red Bull Racing,97.712,1888.162,1,1,False,1
20,1,VER,Red Bull Racing,97.788,1985.95,1,1,False,1
21,1,VER,Red Bull Racing,97.582,2083.532,1,1,False,1
22,1,VER,Red Bull Racing,97.651,2181.183,1,1,False,1
23,1,VER,Red Bull Racing,97.552,2278.735,1,1,False,1
24,1,VER,Red Bull Racing,97.387,2376.122,1,1,False,1
25,1,VER,Red Bull Racing,97.372,2473.494,1,1,False,1
26,1,VER,Red Bull Racing,97.682,2571.176,1,1,False,1
27,1,VER,Red Bull Racing,97.379,2668.555,1,1,False,1
28,1,VER,Red Bull Racing,97.651,2766.206,1,1,False,1
29,1,VER,Red Bull Racing,97.571,2863.777,1,1,False,1
30,1,VER,Red Bull Racing,97.549,2961.326,1,1,False,1
31,1,VER,Red Bull Racing,97.431,3058.757,1,1,False,1
32,1,VER,Red Bull Racing,97.691,3156.448,1,1,False,1
33,1,VER,Red Bull Racing,97.686,3254.134,1,1,False,1
34,1,VER,Red Bull Racing,97.839,3351.973,1,1,False,1
35,1,VER,Red Bull Racing,97.85,3449.823,1,1,False,1
36,1,VER,Red Bull Racing,100.964,3550.787,1,1,False,1
37,1,VER,Red Bull Racing,118.49,3669.277,1,1,True,1
38,1,VER,Red Bull Racing,96.297,3765.574,1,1,False,1
39,1,VER,Red Bull Racing,96.446,3862.02,1,1,False,1
40,1,VER,Red Bull Racing,96.942,3958.962,1,1,False,1
41,1,VER,Red Bull Racing,120.495,4079.457,1,1,False,1
42,1,VER,Red Bull Racing,104.824,4184.281,1,1,False,1
43,1,VER,Red Bull Racing,96.89,4281.171,1,1,False,1
44,1,VER,Red Bull Racing,96.236,4377.407,1,1,False,1
45,1,VER,Red Bull Racing,97.015,4474.422,1,1,False,1
46,1,VER,Red Bull Racing,96.701,4571.123,1,1,False,1
47,1,VER,Red Bull Racing,97.009,4668.132,1,1,False,1
48,1,VER,Red Bull Racing,96.918,4765.05,1,1,False,1
49,1,VER,Red Bull Racing,96.962,4862.012,1,1,False,1
50,1,VER,Red Bull Racing,97.25,4959.262,1,1,False,1
51,1,VER,Red Bull Racing,97.427,5056.689,1,1,False,1
52,1,VER,Red Bull Racing,96.919,5153.608,1,1,False,1
53,1,VER,Red Bull Racing,96.89,5250.498,1,1,False,1
54,1,VER,Red Bull Racing,96.678,5347.176,1,1,False,1
55,1,VER,Red Bull Racing,96.322,5443.498,1,1,False,1
56,1,VER,Red Bull Racing,97.205,5540.703,1,1,False,1
57,1,VER,Red Bull Racing,96.373,5637.076,1,1,False,1
1,2,2,,107.124,107.124,13,13,False,13
2,2,2,,100.467,207.591,13,13,False,13
3,2,2,,100.349,307.94,13,13,False,13
4,2,2,,100.644,408.584,13,13,False,13
5,2,2,,100.902,509.486,13,13,False,13
6,2,2,,100.791,610.277,13,13,False,13
7,2,2,,100.892,711.169,13,13,False,13
8,2,2,,100.868,812.037,13,13,False,13
9,2,2,,100.908,912.9449999999999,13,13,False,13
10,2,2,,101.133,1014.078,12,12,False,12
11,2,2,,101.532,1115.61,12,11,False,12
12,2,2,,103.88,1219.49,10,10,False,10
13,2,2,,120.255,1339.745,15,15,True,15
14,2,2,,98.413,1438.158,15,15,False,15
15,2,2,,99.033,1537.191,15,15,False,15
16,2,2,,98.988,1636.179,13,13,False,13
17,2,2,,99.439,1735.618,13,13,False,13
18,2,2,,99.399,1835.017,13,13,False,13
19,2,2,,99.22,1934.237,13,13,False,13
20,2,2,,99.186,2033.423,13,13,False,13
21,2,2,,99.612,2133.035,13,13,False,13
22,2,2,,99.362,2232.397,13,13,False,13
23,2,2,,99.692,2332.089,13,13,False,13
24,2,2,,99.872,2431.961,13,13,False,13
25,2,2,,99.834,2531.795,13,13,False,13
26,2,2,,100.006,2631.801,12,12,False,12
27,2,2,,99.602,2731.403,10,10,False,10
28,2,2,,99.62,2831.023,10,10,False,10
29,2,2,,99.673,2930.696,10,10,False,10
30,2,2,,102.409,3033.105,10,10,False,10
31,2,2,,119.303,3152.408,14,14,True,14
32,2,2,,97.613,3250.021,14,14,False,14
33,2,2,,97.862,3347.883,13,13,False,13
34,2,2,,97.902,3445.785,13,13,False,13
35,2,2,,98.029,3543.814,13,13,False,13
36,2,2,,97.717,3641.531,13,13,False,13
37,2,2,,97.831,3739.362,13,13,False,13
38,2,2,,98.015,3837.377,13,13,False,13
39,2,2,,97.971,3935.348,13,13,False,13
40,2,2,,113.753,4049.101,12,13,False,12
41,2,2,,125.614,4174.715,14,14,True,14
42,2,2,,96.037,4270.752,14,14,False,14
43,2,2,,96.801,4367.553,14,13,False,14
44,2,2,,97.407,4464.96,13,13,False,13
45,2,2,,97.462,4562.422,13,13,False,13
46,2,2,,98.441,4660.863,13,13,False,13
47,2,2,,97.227,4758.09,12,12,False,12
48,2,2,,97.068,4855.158,12,12,False,12
49,2,2,,97.225,4952.383,12,12,False,12
50,2,2,,97.29,5049.673,12,12,False,12
51,2,2,,97.472,5147.145,12,12,False,12
52,2,2,,97.456,5244.601,12,12,False,12
53,2,2,,97.662,5342.263,12,12,False,12
54,2,2,,97.936,5440.199,12,12,False,12
55,2,2,,98.316,5538.515,12,12,False,12
56,2,2,,99.626,5638.141,12,12,False,12
1,4,NOR,McLaren,105.733,105.733,10,10,False,10
2,4,NOR,McLaren,100.433,206.166,10,10,False,10
3,4,NOR,McLaren,99.777,305.943,10,10,False,10
4,4,NOR,McLaren,102.267,408.21000000000004,12,12,False,12
5,4,NOR,McLaren,100.664,508.874,12,12,False,12
6,4,NOR,McLaren,100.814,609.688,12,12,False,12
7,4,NOR,McLaren,100.726,710.414,12,12,False,12
8,4,NOR,McLaren,100.857,811.271,12,12,False,12
9,4,NOR,McLaren,100.783,912.054,12,12,False,12
10,4,NOR,McLaren,103.521,1015.575,13,13,False,13
11,4,NOR,McLaren,129.886,1145.461,20,20,True,20
12,4,NOR,McLaren,99.314,1244.775,18,18,False,18
13,4,NOR,McLaren,99.51,1344.285,17,17,False,17
14,4,NOR,McLaren,99.243,1443.528,16,17,False,16
15,4,NOR,McLaren,98.87,1542.398,16,16,False,16
16,4,NOR,McLaren,98.86,1641.258,14,14,False,14
17,4,NOR,McLaren,101.501,1742.759,15,15,False,15
18,4,NOR,McLaren,128.607,1871.366,19,19,True,19
19,4,NOR,McLaren,97.966,1969.332,19,19,False,19
20,4,NOR,McLaren,98.345,2067.677,19,19,False,19
21,4,NOR,McLaren,98.297,2165.974,19,19,False,19
22,4,NOR,McLaren,98.908,2264.882,19,19,False,19
23,4,NOR,McLaren,98.291,2363.173,18,18,False,18
24,4,NOR,McLaren,98.696,2461.869,18,18,False,18
25,4,NOR,McLaren,98.447,2560.316,18,18,False,18
26,4,NOR,McLaren,98.44,2658.756,18,18,False,18
27,4,NOR,McLaren,100.973,2759.729,17,17,False,17
28,4,NOR,McLaren,127.663,2887.392,19,19,True,19
29,4,NOR,McLaren,97.26,2984.652,19,19,False,19
30,4,NOR,McLaren,97.605,3082.257,19,19,False,19
31,4,NOR,McLaren,97.768,3180.025,19,19,False,19
32,4,NOR,McLaren,98.111,3278.136,19,19,False,19
33,4,NOR,McLaren,97.52,3375.656,18,18,False,18
34,4,NOR,McLaren,97.987,3473.643,18,18,False,18
35,4,NOR,McLaren,97.87,3571.513,18,18,False,18
36,4,NOR,McLaren,99.886,3671.399,18,18,False,18
37,4,NOR,McLaren,100.197,3771.596,18,18,False,18
38,4,NOR,McLaren,128.682,3900.278,19,19,True,19
39,4,NOR,McLaren,98.347,3998.625,19,19,False,19
40,4,NOR,McLaren,127.97,4126.595,18,19,False,18
41,4,NOR,McLaren,96.705,4223.3,18,18,False,18
42,4,NOR,McLaren,96.668,4319.968,17,18,False,17
43,4,NOR,McLaren,96.687,4416.655,17,17,False,17
44,4,NOR,McLaren,97.219,4513.874,17,17,False,17
45,4,NOR,McLaren,97.426,4611.3,17,17,False,17
46,4,NOR,McLaren,97.656,4708.956,17,17,False,17
47,4,NOR,McLaren,100.433,4809.389,17,17,False,17
48,4,NOR,McLaren,126.905,4936.294,17,17,True,17
49,4,NOR,McLaren,99.08,5035.374,17,17,False,17
50,4,NOR,McLaren,95.257,5130.631,17,17,False,17
51,4,NOR,McLaren,95.822,5226.453,17,17,False,17
52,4,NOR,McLaren,96.152,5322.605,17,17,False,17
53,4,NOR,McLaren,96.5,5419.105,17,17,False,17
54,4,NOR,McLaren,99.789,5518.894,17,17,False,17
55,4,NOR,McLaren,124.847,5643.741,17,17,True,17
1,10,GAS,Alpine,110.03,110.03,19,19,False,19
2,10,GAS,Alpine,100.438,210.46800000000002,18,18,False,18
3,10,GAS,Alpine,100.643,311.111,18,18,False,18
4,10,GAS,Alpine,100.894,412.005,18,18,False,18
5,10,GAS,Alpine,100.818,512.823,18,18,False,18
6,10,GAS,Alpine,101.11,613.933,18,18,False,18
7,10,GAS,Alpine,101.134,715.067,18,18,False,18
8,10,GAS,Alpine,101.173,816.24,18,18,False,18
9,10,GAS,Alpine,104.201,920.441,19,19,False,19
10,10,GAS,Alpine,121.262,1041.703,20,20,True,20
11,10,GAS,Alpine,98.762,1140.465,19,19,False,19
12,10,GAS,Alpine,98.928,1239.393,17,17,False,17
13,10,GAS,Alpine,99.349,1338.742,14,14,False,14
14,10,GAS,Alpine,98.859,1437.601,14,14,False,14
15,10,GAS,Alpine,98.985,1536.586,14,14,False,14
16,10,GAS,Alpine,98.945,1635.531,12,12,False,12
17,10,GAS,Alpine,99.011,1734.542,12,12,False,12
18,10,GAS,Alpine,99.029,1833.571,12,12,False,12
19,10,GAS,Alpine,99.066,1932.637,12,12,False,12
20,10,GAS,Alpine,99.017,2031.654,12,12,False,12
21,10,GAS,Alpine,99.327,2130.9809999999998,12,12,False,12
22,10,GAS,Alpine,99.485,2230.466,12,12,False,12
23,10,GAS,Alpine,99.263,2329.729,12,12,False,12
24,10,GAS,Alpine,99.761,2429.49,12,12,False,12
25,10,GAS,Alpine,102.288,2531.778,12,12,False,12
26,10,GAS,Alpine,119.404,2651.182,17,17,True,17
27,10,GAS,Alpine,98.729,2749.911,15,15,False,15
28,10,GAS,Alpine,97.761,2847.672,14,14,False,14
29,10,GAS,Alpine,98.012,2945.684,14,14,False,14
30,10,GAS,Alpine,97.76,3043.444,13,13,False,13
31,10,GAS,Alpine,97.968,3141.412,12,12,False,12
32,10,GAS,Alpine,98.012,3239.424,12,12,False,12
33,10,GAS,Alpine,97.974,3337.398,11,11,False,11
34,10,GAS,Alpine,98.022,3435.42,11,11,False,11
35,10,GAS,Alpine,98.088,3533.508,11,11,False,11
36,10,GAS,Alpine,98.184,3631.692,11,11,False,11
37,10,GAS,Alpine,98.133,3729.825,11,11,False,11
38,10,GAS,Alpine,98.108,3827.933,11,11,False,11
39,10,GAS,Alpine,98.537,3926.47,11,11,False,11
40,10,GAS,Alpine,109.707,4036.177,10,11,False,10
41,10,GAS,Alpine,128.544,4164.721,10,10,True,10
42,10,GAS,Alpine,95.068,4259.789,9,9,False,9
43,10,GAS,Alpine,95.942,4355.731,9,9,False,9
44,10,GAS,Alpine,95.792,4451.523,9,9,False,9
45,10,GAS,Alpine,96.186,4547.709,9,9,False,9
46,10,GAS,Alpine,96.041,4643.75,9,9,False,9
47,10,GAS,Alpine,96.12,4739.87,9,9,False,9
48,10,GAS,Alpine,96.368,4836.238,9,9,False,9
49,10,GAS,Alpine,96.803,4933.041,9,9,False,9
50,10,GAS,Alpine,96.551,5029.592,9,9,False,9
51,10,GAS,Alpine,96.635,5126.227,9,9,False,9
52,10,GAS,Alpine,96.891,5223.118,9,9,False,9
53,10,GAS,Alpine,96.979,5320.097,9,9,False,9
54,10,GAS,Alpine,97.222,5417.319,9,9,False,9
55,10,GAS,Alpine,97.559,5514.878,9,9,False,9
56,10,GAS,Alpine,97.845,5612.723,9,9,False,9
57,10,GAS,Alpine,98.147,5710.87,9,9,False,9
1,11,11,,101.405,101.405,3,3,False,3
2,11,11,,98.862,200.267,3,3,False,3
3,11,11,,98.83,299.097,3,3,False,3
4,11,11,,98.758,397.855,3,3,False,3
5,11,11,,98.404,496.259,3,3,False,3
6,11,11,,98.718,594.977,3,3,False,3
7,11,11,,98.804,693.781,3,3,False,3
8,11,11,,99.172,792.953,3,3,False,3
9,11,11,,98.914,891.867,3,3,False,3
10,11,11,,99.085,990.952,3,3,False,3
11,11,11,,99.249,1090.201,3,3,False,3
12,11,11,,99.197,1189.398,3,3,False,3
13,11,11,,99.336,1288.734,2,2,False,2
14,11,11,,98.739,1387.473,2,2,False,2
15,11,11,,98.608,1486.081,1,1,False,1
16,11,11,,98.77,1584.8509999999999,1,1,False,1
17,11,11,,101.36,1686.211,1,1,False,1
18,11,11,,118.797,1805.008,3,3,True,3
19,11,11,,97.659,1902.667,3,3,False,3
20,11,11,,97.448,2000.115,3,3,False,3
21,11,11,,97.24,2097.355,3,3,False,3
22,11,11,,97.169,2194.524,3,3,False,3
23,11,11,,97.304,2291.828,3,3,False,3
24,11,11,,97.352,2389.18,3,3,False,3
25,11,11,,98.418,2487.598,3,3,False,3
26,11,11,,97.454,2585.052,2,2,False,2
27,11,11,,97.387,2682.439,2,2,False,2
28,11,11,,97.211,2779.65,2,2,False,2
29,11,11,,97.733,2877.383,2,2,False,2
30,11,11,,97.4,2974.783,2,2,False,2
31,11,11,,97.919,3072.7019999999998,2,2,False,2
32,11,11,,97.722,3170.424,2,2,False,2
33,11,11,,97.869,3268.293,2,2,False,2
34,11,11,,100.686,3368.979,2,2,False,2
35,11,11,,118.785,3487.764,2,2,True,2
36,11,11,,96.82,3584.584,2,2,False,2
37,11,11,,96.344,3680.928,2,2,False,2
38,11,11,,96.431,3777.359,2,2,False,2
39,11,11,,96.429,3873.788,2,2,False,2
40,11,11,,97.114,3970.902,2,2,False,2
41,11,11,,123.522,4094.424,2,2,False,2
42,11,11,,99.657,4194.081,2,2,False,2
43,11,11,,96.554,4290.635,2,2,False,2
44,11,11,,96.978,4387.613,2,2,False,2
45,11,11,,96.928,4484.541,2,2,False,2
46,11,11,,97.257,4581.798,2,2,False,2
47,11,11,,96.661,4678.459,2,2,False,2
48,11,11,,96.859,4775.318,2,2,False,2
49,11,11,,97.049,4872.367,2,2,False,2
50,11,11,,97.731,4970.098,2,2,False,2
51,11,11,,97.049,5067.147,2,2,False,2
52,11,11,,97.062,5164.209,2,2,False,2
53,11,11,,97.345,5261.554,2,2,False,2
54,11,11,,97.296,5358.85,2,2,False,2
55,11,11,,97.092,5455.942,2,2,False,2
56,11,11,,96.565,5552.507,2,2,False,2
57,11,11,,96.558,5649.065,2,2,False,2
1,14,ALO,Aston Martin,103.968,103.968,7,7,False,7
2,14,ALO,Aston Martin,99.792,203.76,7,7,False,7
3,14,ALO,Aston Martin,99.1,302.86,7,7,False,7
4,14,ALO,Aston Martin,99.548,402.408,7,7,False,7
5,14,ALO,Aston Martin,99.662,502.07,7,7,False,7
6,14,ALO,Aston Martin,99.674,601.744,7,7,False,7
7,14,ALO,Aston Martin,99.729,701.473,7,7,False,7
8,14,ALO,Aston Martin,99.959,801.432,7,7,False,7
9,14,ALO,Aston Martin,100.275,901.707,7,7,False,7
10,14,ALO,Aston Martin,100.203,1001.9100000000001,7,7,False,7
11,14,ALO,Aston Martin,101.147,1103.057,7,7,False,7
12,14,ALO,Aston Martin,100.934,1203.991,6,6,False,6
13,14,ALO,Aston Martin,100.341,1304.332,5,5,False,5
14,14,ALO,Aston Martin,102.212,1406.544,4,4,False,4
15,14,ALO,Aston Martin,119.692,1526.236,8,8,True,8
16,14,ALO,Aston Martin,97.542,1623.778,7,7,False,7
17,14,ALO,Aston Martin,98.139,1721.917,6,6,False,6
18,14,ALO,Aston Martin,98.124,1820.041,6,6,False,6
19,14,ALO,Aston Martin,98.361,1918.402,6,6,False,6
20,14,ALO,Aston Martin,98.318,2016.72,6,6,False,6
21,14,ALO,Aston Martin,98.407,2115.127,6,6,False,6
22,14,ALO,Aston Martin,98.2,2213.327,6,6,False,6
23,14,ALO,Aston Martin,97.853,2311.18,6,6,False,6
24,14,ALO,Aston Martin,97.878,2409.058,6,6,False,6
25,14,ALO,Aston Martin,98.139,2507.197,6,6,False,6
26,14,ALO,Aston Martin,98.127,2605.324,6,6,False,6
27,14,ALO,Aston Martin,98.612,2703.936,6,6,False,6
28,14,ALO,Aston Martin,98.199,2802.135,6,6,False,6
29,14,ALO,Aston Martin,98.585,2900.72,6,6,False,6
30,14,ALO,Aston Martin,98.282,2999.002,5,5,False,5
31,14,ALO,Aston Martin,98.009,3097.011,5,5,False,5
32,14,ALO,Aston Martin,97.871,3194.882,4,4,False,4
33,14,ALO,Aston Martin,97.769,3292.651,4,4,False,4
34,14,ALO,Aston Martin,100.353,3393.004,3,3,False,3
35,14,ALO,Aston Martin,117.389,3510.393,6,6,True,6
36,14,ALO,Aston Martin,96.156,3606.549,6,6,False,6
37,14,ALO,Aston Martin,97.431,3703.98,6,6,False,6
38,14,ALO,Aston Martin,97.002,3800.982,5,5,False,5
39,14,ALO,Aston Martin,97.243,3898.225,5,5,False,5
40,14,ALO,Aston Martin,97.208,3995.433,4,4,False,4
41,14,ALO,Aston Martin,126.713,4122.146,4,4,False,4
42,14,ALO,Aston Martin,96.334,4218.48,4,4,False,4
43,14,ALO,Aston Martin,96.911,4315.391,4,4,False,4
44,14,ALO,Aston Martin,97.022,4412.413,4,4,False,4
45,14,ALO,Aston Martin,97.931,4510.344,3,3,False,3
46,14,ALO,Aston Martin,97.087,4607.431,3,3,False,3
47,14,ALO,Aston Martin,97.326,4704.757,3,3,False,3
48,14,ALO,Aston Martin,96.783,4801.54,3,3,False,3
49,14,ALO,Aston Martin,96.726,4898.266,3,3,False,3
50,14,ALO,Aston Martin,96.331,4994.597,3,3,False,3
51,14,ALO,Aston Martin,96.96,5091.557,3,3,False,3
52,14,ALO,Aston Martin,97.01,5188.567,3,3,False,3
53,14,ALO,Aston Martin,97.01,5285.577,3,3,False,3
54,14,ALO,Aston Martin,97.599,5383.176,3,3,False,3
55,14,ALO,Aston Martin,97.662,5480.838,3,3,False,3
56,14,ALO,Aston Martin,97.473,5578.311,3,3,False,3
57,14,ALO,Aston Martin,97.422,5675.733,3,3,False,3
1,16,LEC,Ferrari,100.609,100.609,2,2,False,2
2,16,LEC,Ferrari,98.75,199.35899999999998,2,2,False,2
3,16,LEC,Ferrari,98.658,298.017,2,2,False,2
4,16,LEC,Ferrari,98.825,396.842,2,2,False,2
5,16,LEC,Ferrari,98.664,495.506,2,2,False,2
6,16,LEC,Ferrari,98.572,594.078,2,2,False,2
7,16,LEC,Ferrari,98.691,692.769,2,2,False,2
8,16,LEC,Ferrari,98.614,791.383,2,2,False,2
9,16,LEC,Ferrari,98.828,890.211,2,2,False,2
10,16,LEC,Ferrari,99.073,989.284,2,2,False,2
11,16,LEC,Ferrari,99.212,1088.496,2,2,False,2
12,16,LEC,Ferrari,99.489,1187.9850000000001,2,2,False,2
13,16,LEC,Ferrari,102.068,1290.053,3,3,False,3
14,16,LEC,Ferrari,118.77,1408.823,5,5,True,5
15,16,LEC,Ferrari,98.477,1507.3,3,3,False,3
16,16,LEC,Ferrari,97.953,1605.253,3,3,False,3
17,16,LEC,Ferrari,98.031,1703.284,3,3,False,3
18,16,LEC,Ferrari,97.798,1801.082,2,2,False,2
19,16,LEC,Ferrari,97.858,1898.94,2,2,False,2
